13,1,100M,1.18,59M,0.74
13,2,100M,1.56,59M,0.76
13,3,100M,1.88,59M,0.77
13,4,100M,2.51,58M,0.81
13,5,100M,3.04,58M,0.81
13,6,100M,3.07,58M,0.81
13,7,100M,3.09,58M,0.96
13,8,100M,3.21,58M,0.82
13,9,100M,3.12,58M,0.84
14,1,113M,2.26,81M,0.90
14,2,113M,2.46,81M,0.93
14,3,113M,3.18,81M,0.89
14,4,113M,3.26,81M,0.83
14,5,113M,3.84,81M,0.82
14,6,113M,5.50,81M,0.81
14,7,113M,6.45,81M,0.81
14,8,113M,6.50,81M,0.80
14,9,113M,6.37,81M,0.80
15,1,113M,1.73,61M,0.93
15,2,113M,1.98,60M,0.92
15,3,113M,3.14,60M,0.86
15,4,113M,2.89,58M,0.86
15,5,113M,5.67,58M,0.86
15,6,113M,10.27,57M,0.87
15,7,113M,9.66,57M,0.87
15,8,113M,9.74,57M,0.90
15,9,113M,9.99,57M,0.84
16,1,113M,1.25,50M,0.84
16,2,113M,1.53,50M,0.83
16,3,113M,2.85,47M,0.75
16,4,113M,2.28,48M,0.75
16,5,113M,5.07,46M,0.76
16,6,113M,8.55,45M,0.75
16,7,113M,9.75,46M,0.76
16,8,113M,10.95,45M,0.75
16,9,113M,11.09,45M,0.78
17,1,113M,1.25,52M,0.82
17,2,113M,1.44,51M,0.80
17,3,113M,2.75,49M,0.71
17,4,113M,2.31,49M,0.71
17,5,113M,4.86,49M,0.73
17,6,113M,6.50,48M,0.72
17,7,113M,6.51,48M,0.72
17,8,113M,6.51,48M,0.72
17,9,113M,6.51,48M,0.72
18,1,114M,1.21,52M,0.82
18,2,114M,1.43,52M,0.83
18,3,114M,2.79,50M,0.68
18,4,114M,2.18,50M,0.69
18,5,114M,4.87,49M,0.70
18,6,114M,5.52,49M,0.72
18,7,114M,5.53,49M,0.70
18,8,114M,5.54,49M,0.69
18,9,114M,5.54,49M,0.69
19,1,100M,1.22,52M,0.80
19,2,100M,1.43,52M,0.81
19,3,100M,2.87,50M,0.68
19,4,100M,2.18,50M,0.70
19,5,100M,5.03,49M,0.70
19,6,100M,5.28,49M,0.69
19,7,100M,5.27,49M,0.69
19,8,100M,5.26,49M,0.69
19,9,100M,5.27,49M,0.68
20,1,113M,1.22,52M,0.82
20,2,113M,1.44,53M,0.80
20,3,113M,2.49,50M,0.74
20,4,113M,2.21,50M,0.77
20,5,113M,4.38,49M,0.72
20,6,113M,5.42,49M,0.72
20,7,113M,6.03,49M,0.73
20,8,113M,6.09,49M,0.75
20,9,113M,6.08,49M,0.72
21,1,107M,1.23,46M,0.82
21,2,107M,1.47,46M,0.78
21,3,107M,3.20,44M,0.68
21,4,107M,2.23,45M,0.71
21,5,107M,5.74,45M,0.72
21,6,107M,10.00,44M,0.67
21,7,107M,9.97,44M,0.67
21,8,107M,9.85,44M,0.67
21,9,107M,9.82,44M,0.69
22,1,113M,1.25,50M,0.85
22,2,113M,1.52,49M,0.83
22,3,113M,2.98,46M,0.74
22,4,113M,2.25,47M,0.74
22,5,113M,5.41,47M,0.75
22,6,113M,9.58,45M,0.72
22,7,113M,9.89,46M,0.71
22,8,113M,9.77,46M,0.72
22,9,113M,9.79,46M,0.72
23,1,113M,1.22,51M,0.81
23,2,113M,1.42,50M,0.80
23,3,113M,2.96,48M,0.67
23,4,113M,2.17,48M,0.70
23,5,113M,5.24,48M,0.71
23,6,113M,6.09,48M,0.70
23,7,113M,6.07,48M,0.74
23,8,113M,6.06,48M,0.69
23,9,113M,6.09,48M,0.70
24,1,104M,1.21,51M,0.81
24,2,104M,1.42,51M,0.79
24,3,104M,2.98,48M,0.68
24,4,104M,2.15,48M,0.69
24,5,104M,5.25,48M,0.72
24,6,104M,5.90,48M,0.69
24,7,104M,5.95,48M,0.69
24,8,104M,6.03,48M,0.70
24,9,104M,6.29,48M,0.81
25,1,100M,1.44,51M,0.92
25,2,100M,1.50,51M,0.81
25,3,100M,3.17,48M,0.71
25,4,100M,2.19,49M,0.74
25,5,100M,5.37,48M,0.71
25,6,100M,5.85,48M,0.74
25,7,100M,5.86,48M,0.72
25,8,100M,5.85,48M,0.69
25,9,100M,5.87,48M,0.76
13,1,100M,,,0.76
13,2,100M,,,0.80
13,3,100M,,,0.90
13,4,100M,,,0.91
13,5,100M,,,0.85
13,6,100M,,,0.83
13,7,100M,,,0.85
13,8,100M,,,0.83
13,9,100M,,,0.83
14,1,113M,,,0.90
14,2,113M,,,0.97
14,3,113M,,,0.97
14,4,113M,,,0.87
14,5,113M,,,0.87
14,6,113M,,,0.85
14,7,113M,,,0.92
14,8,113M,,,0.90
14,9,113M,,,0.81
15,1,113M,,,0.93
15,2,113M,,,0.92
15,3,113M,,,0.91
15,4,113M,,,0.86
15,5,113M,,,0.85
15,6,113M,,,0.82
15,7,113M,,,0.85
15,8,113M,,,0.83
15,9,113M,,,0.83
16,1,113M,,,0.84
16,2,113M,,,0.83
16,3,113M,,,0.75
16,4,113M,,,0.78
16,5,113M,,,0.76
16,6,113M,,,0.76
16,7,113M,,,0.75
16,8,113M,,,0.75
16,9,113M,,,0.76
17,1,113M,,,0.82
17,2,113M,,,0.81
17,3,113M,,,0.70
17,4,113M,,,0.72
17,5,113M,,,0.76
17,6,113M,,,0.72
17,7,113M,,,0.73
17,8,113M,,,0.72
17,9,113M,,,0.72
18,1,114M,,,0.81
18,2,114M,,,0.80
18,3,114M,,,0.69
18,4,114M,,,0.70
18,5,114M,,,0.70
18,6,114M,,,0.70
18,7,114M,,,0.71
18,8,114M,,,0.70
18,9,114M,,,0.71
19,1,100M,,,0.80
19,2,100M,,,0.80
19,3,100M,,,0.67
19,4,100M,,,0.68
19,5,100M,,,0.71
19,6,100M,,,0.69
19,7,100M,,,0.69
19,8,100M,,,0.69
19,9,100M,,,0.70
20,1,113M,,,0.83
20,2,113M,,,0.81
20,3,113M,,,0.73
20,4,113M,,,0.72
20,5,113M,,,0.72
20,6,113M,,,0.73
20,7,113M,,,0.72
20,8,113M,,,0.72
20,9,113M,,,0.72
21,1,107M,,,0.81
21,2,107M,,,0.78
21,3,107M,,,0.69
21,4,107M,,,0.70
21,5,107M,,,0.71
21,6,107M,,,0.67
21,7,107M,,,0.66
21,8,107M,,,0.67
21,9,107M,,,0.68
22,1,113M,,,0.84
22,2,113M,,,0.82
22,3,113M,,,0.72
22,4,113M,,,0.74
22,5,113M,,,0.75
22,6,113M,,,0.72
22,7,113M,,,0.72
22,8,113M,,,0.74
22,9,113M,,,0.73
23,1,113M,,,0.87
23,2,113M,,,0.80
23,3,113M,,,0.67
23,4,113M,,,0.70
23,5,113M,,,0.70
23,6,113M,,,0.71
23,7,113M,,,0.70
23,8,113M,,,0.70
23,9,113M,,,0.70
24,1,104M,,,0.82
24,2,104M,,,0.84
24,3,104M,,,0.70
24,4,104M,,,0.73
24,5,104M,,,0.81
24,6,104M,,,0.77
24,7,104M,,,0.80
24,8,104M,,,0.89
24,9,104M,,,0.89
25,1,100M,,,0.82
25,2,100M,,,0.81
25,3,100M,,,0.69
25,4,100M,,,0.70
25,5,100M,,,0.69
25,6,100M,,,0.69
25,7,100M,,,0.69
25,8,100M,,,0.70
25,9,100M,,,0.70
13,1,100M,,,0.75
13,2,100M,,,0.76
13,3,100M,,,0.77
13,4,100M,,,0.82
13,5,100M,,,0.84
13,6,100M,,,0.81
13,7,100M,,,0.82
13,8,100M,,,0.81
13,9,100M,,,0.81
14,1,113M,,,0.89
14,2,113M,,,0.90
14,3,113M,,,0.89
14,4,113M,,,0.82
14,5,113M,,,0.81
14,6,113M,,,0.82
14,7,113M,,,0.82
14,8,113M,,,0.80
14,9,113M,,,0.80
15,1,113M,,,0.91
15,2,113M,,,0.92
15,3,113M,,,0.86
15,4,113M,,,0.88
15,5,113M,,,0.87
15,6,113M,,,0.82
15,7,113M,,,0.82
15,8,113M,,,0.83
15,9,113M,,,0.83
16,1,113M,,,0.84
16,2,113M,,,0.82
16,3,113M,,,0.75
16,4,113M,,,0.75
16,5,113M,,,0.76
16,6,113M,,,0.75
16,7,113M,,,0.75
16,8,113M,,,0.75
16,9,113M,,,0.76
17,1,113M,,,0.81
17,2,113M,,,0.81
17,3,113M,,,0.70
17,4,113M,,,0.71
17,5,113M,,,0.73
17,6,113M,,,0.74
17,7,113M,,,0.72
17,8,113M,,,0.73
17,9,113M,,,0.72
18,1,114M,,,0.81
18,2,114M,,,0.80
18,3,114M,,,0.68
18,4,114M,,,0.70
18,5,114M,,,0.71
18,6,114M,,,0.70
18,7,114M,,,0.69
18,8,114M,,,0.69
18,9,114M,,,0.70
19,1,100M,,,0.80
19,2,100M,,,0.81
19,3,100M,,,0.67
19,4,100M,,,0.70
19,5,100M,,,0.69
19,6,100M,,,0.69
19,7,100M,,,0.69
19,8,100M,,,0.69
19,9,100M,,,0.70
20,1,113M,,,0.86
20,2,113M,,,0.80
20,3,113M,,,0.72
20,4,113M,,,0.72
20,5,113M,,,0.73
20,6,113M,,,0.74
20,7,113M,,,0.73
20,8,113M,,,0.73
20,9,113M,,,0.73
21,1,107M,,,0.81
21,2,107M,,,0.79
21,3,107M,,,0.70
21,4,107M,,,0.71
21,5,107M,,,0.73
21,6,107M,,,0.67
21,7,107M,,,0.68
21,8,107M,,,0.67
21,9,107M,,,0.67
22,1,113M,,,0.83
22,2,113M,,,0.83
22,3,113M,,,0.72
22,4,113M,,,0.74
22,5,113M,,,0.76
22,6,113M,,,0.87
22,7,113M,,,0.75
22,8,113M,,,0.73
22,9,113M,,,0.75
23,1,113M,,,0.83
23,2,113M,,,0.79
23,3,113M,,,0.68
23,4,113M,,,0.71
23,5,113M,,,0.71
23,6,113M,,,0.70
23,7,113M,,,0.72
23,8,113M,,,0.77
23,9,113M,,,0.72
24,1,104M,,,0.83
24,2,104M,,,0.85
24,3,104M,,,0.69
24,4,104M,,,0.71
24,5,104M,,,0.75
24,6,104M,,,0.81
24,7,104M,,,0.75
24,8,104M,,,0.69
24,9,104M,,,0.72
25,1,100M,,,0.85
25,2,100M,,,0.85
25,3,100M,,,0.68
25,4,100M,,,0.69
25,5,100M,,,0.70
25,6,100M,,,0.69
25,7,100M,,,0.70
25,8,100M,,,0.70
25,9,100M,,,0.69
13,1,100M,,,0.74
13,2,100M,,,0.77
13,3,100M,,,0.81
13,4,100M,,,0.81
13,5,100M,,,0.81
13,6,100M,,,0.82
13,7,100M,,,0.84
13,8,100M,,,0.83
13,9,100M,,,0.82
14,1,113M,,,0.89
14,2,113M,,,0.90
14,3,113M,,,1.02
14,4,113M,,,0.84
14,5,113M,,,0.85
14,6,113M,,,0.84
14,7,113M,,,0.81
14,8,113M,,,0.80
14,9,113M,,,0.83
15,1,113M,,,0.93
15,2,113M,,,0.91
15,3,113M,,,0.87
15,4,113M,,,0.92
15,5,113M,,,0.86
15,6,113M,,,0.83
15,7,113M,,,0.87
15,8,113M,,,0.84
15,9,113M,,,0.84
16,1,113M,,,0.84
16,2,113M,,,0.83
16,3,113M,,,0.77
16,4,113M,,,0.75
16,5,113M,,,0.76
16,6,113M,,,0.79
16,7,113M,,,0.75
16,8,113M,,,0.75
16,9,113M,,,0.75
17,1,113M,,,0.81
17,2,113M,,,0.80
17,3,113M,,,0.70
17,4,113M,,,0.71
17,5,113M,,,0.72
17,6,113M,,,0.72
17,7,113M,,,0.72
17,8,113M,,,0.73
17,9,113M,,,0.73
18,1,114M,,,0.81
18,2,114M,,,0.80
18,3,114M,,,0.68
18,4,114M,,,0.69
18,5,114M,,,0.70
18,6,114M,,,0.69
18,7,114M,,,0.70
18,8,114M,,,0.70
18,9,114M,,,0.70
19,1,100M,,,0.80
19,2,100M,,,0.82
19,3,100M,,,0.67
19,4,100M,,,0.69
19,5,100M,,,0.70
19,6,100M,,,0.69
19,7,100M,,,0.69
19,8,100M,,,0.69
19,9,100M,,,0.69
20,1,113M,,,0.82
20,2,113M,,,0.80
20,3,113M,,,0.72
20,4,113M,,,0.72
20,5,113M,,,0.72
20,6,113M,,,0.72
20,7,113M,,,0.72
20,8,113M,,,0.72
20,9,113M,,,0.74
21,1,107M,,,0.82
21,2,107M,,,0.78
21,3,107M,,,0.69
21,4,107M,,,0.70
21,5,107M,,,0.71
21,6,107M,,,0.67
21,7,107M,,,0.66
21,8,107M,,,0.66
21,9,107M,,,0.67
22,1,113M,,,0.83
22,2,113M,,,0.81
22,3,113M,,,0.72
22,4,113M,,,0.74
22,5,113M,,,0.74
22,6,113M,,,0.72
22,7,113M,,,0.71
22,8,113M,,,0.72
22,9,113M,,,0.72
23,1,113M,,,0.81
23,2,113M,,,0.80
23,3,113M,,,0.67
23,4,113M,,,0.69
23,5,113M,,,0.69
23,6,113M,,,0.70
23,7,113M,,,0.72
23,8,113M,,,0.70
23,9,113M,,,0.70
24,1,104M,,,0.81
24,2,104M,,,0.80
24,3,104M,,,0.67
24,4,104M,,,0.69
24,5,104M,,,0.70
24,6,104M,,,0.69
24,7,104M,,,0.69
24,8,104M,,,0.69
24,9,104M,,,0.70
25,1,100M,,,0.82
25,2,100M,,,0.81
25,3,100M,,,0.66
25,4,100M,,,0.69
25,5,100M,,,0.69
25,6,100M,,,0.70
25,7,100M,,,0.70
25,8,100M,,,0.69
25,9,100M,,,0.69
13,1,100M,,,0.74
13,2,100M,,,0.76
13,3,100M,,,0.77
13,4,100M,,,0.81
13,5,100M,,,0.81
13,6,100M,,,0.81
13,7,100M,,,0.81
13,8,100M,,,0.81
13,9,100M,,,0.81
14,1,113M,,,0.89
14,2,113M,,,0.90
14,3,113M,,,0.89
14,4,113M,,,0.82
14,5,113M,,,0.82
14,6,113M,,,0.81
14,7,113M,,,0.80
14,8,113M,,,0.80
14,9,113M,,,0.80
15,1,113M,,,0.92
15,2,113M,,,0.90
15,3,113M,,,0.86
15,4,113M,,,0.86
15,5,113M,,,0.86
15,6,113M,,,0.82
15,7,113M,,,0.82
15,8,113M,,,0.82
15,9,113M,,,0.83
16,1,113M,,,0.84
16,2,113M,,,0.84
16,3,113M,,,0.74
16,4,113M,,,0.74
16,5,113M,,,0.76
16,6,113M,,,0.75
16,7,113M,,,0.75
16,8,113M,,,0.75
16,9,113M,,,0.76
17,1,113M,,,0.81
17,2,113M,,,0.80
17,3,113M,,,0.70
17,4,113M,,,0.71
17,5,113M,,,0.73
17,6,113M,,,0.72
17,7,113M,,,0.72
17,8,113M,,,0.72
17,9,113M,,,0.72
18,1,114M,,,0.81
18,2,114M,,,0.80
18,3,114M,,,0.69
18,4,114M,,,0.70
18,5,114M,,,0.70
18,6,114M,,,0.69
18,7,114M,,,0.70
18,8,114M,,,0.69
18,9,114M,,,0.70
19,1,100M,,,0.80
19,2,100M,,,0.82
19,3,100M,,,0.69
19,4,100M,,,0.69
19,5,100M,,,0.70
19,6,100M,,,0.69
19,7,100M,,,0.68
19,8,100M,,,0.69
19,9,100M,,,0.69
20,1,113M,,,0.82
20,2,113M,,,0.80
20,3,113M,,,0.71
20,4,113M,,,0.71
20,5,113M,,,0.73
20,6,113M,,,0.72
20,7,113M,,,0.72
20,8,113M,,,0.73
20,9,113M,,,0.73
21,1,107M,,,0.81
21,2,107M,,,0.77
21,3,107M,,,0.69
21,4,107M,,,0.74
21,5,107M,,,0.73
21,6,107M,,,0.67
21,7,107M,,,0.67
21,8,107M,,,0.67
21,9,107M,,,0.68
22,1,113M,,,0.84
22,2,113M,,,0.81
22,3,113M,,,0.72
22,4,113M,,,0.74
22,5,113M,,,0.74
22,6,113M,,,0.72
22,7,113M,,,0.72
22,8,113M,,,0.71
22,9,113M,,,0.73
23,1,113M,,,0.82
23,2,113M,,,0.79
23,3,113M,,,0.68
23,4,113M,,,0.70
23,5,113M,,,0.70
23,6,113M,,,0.70
23,7,113M,,,0.70
23,8,113M,,,0.72
23,9,113M,,,0.70
24,1,104M,,,0.81
24,2,104M,,,0.80
24,3,104M,,,0.67
24,4,104M,,,0.69
24,5,104M,,,0.70
24,6,104M,,,0.70
24,7,104M,,,0.69
24,8,104M,,,0.71
24,9,104M,,,0.69
25,1,100M,,,0.80
25,2,100M,,,0.79
25,3,100M,,,0.68
25,4,100M,,,0.77
25,5,100M,,,0.69
25,6,100M,,,0.70
25,7,100M,,,0.72
25,8,100M,,,0.69
25,9,100M,,,0.69
